METERHEAD;R_MF_9A_6P;R_MF_6P_10;R_SA_9A_6P;R_SA_6P_10;R_SU_9A_6P;R_SU_6P_10;RATE_MISC;TIMEINEFFE;T_MF_9A_6P;T_MF_6P_10;T_SA_9A_6P;T_SA_6P_10;T_SU_9A_6P;T_SU_6P_10;TIME_MISC;CREDITCARD;PAY_PHONE;Geom;Geo Local Area;METERID
Twin;$2.00;$3.00;$2.00;$3.00;$2.00;$3.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;3 Hr;4 Hr;3 Hr;4 Hr;3 Hr;4 Hr;;No;50306;"{""type"": ""Point"", ""coordinates"": [-123.06950435116818, 49.26922338817577]}";Grandview-Woodland;6C1706
Twin;$2.00;$3.00;$2.00;$3.00;$2.00;$3.00;$1.00;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;53496;"{""type"": ""Point"", ""coordinates"": [-123.06952178859949, 49.26827961964504]}";Grandview-Woodland;6C1810
Single;$3.00;$1.00;$3.00;$1.00;$3.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;52795;"{""type"": ""Point"", ""coordinates"": [-123.10656773716954, 49.26725050361436]}";Mount Pleasant;762002
Twin Bay Single;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;Yes;52849;"{""type"": ""Point"", ""coordinates"": [-123.10672745828145, 49.26329146822668]}";Mount Pleasant;762410
Twin;$2.00;$3.00;$2.00;$3.00;$2.00;$3.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;54863;"{""type"": ""Point"", ""coordinates"": [-123.10149788480311, 49.24728060726416]}";Riley Park;E70127
Twin;$1.00;$2.00;$1.00;$2.00;$1.00;$2.00;$ .50;METER IN EFFECT: 9:00 AM TO 10:00 PM;3 Hr;4 Hr;3 Hr;4 Hr;3 Hr;4 Hr;;No;50302;"{""type"": ""Point"", ""coordinates"": [-123.06957331712657, 49.26557795242566]}";Grandview-Woodland;6C2104
Twin;$1.00;$2.00;$1.00;$2.00;$1.00;$2.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;54718;"{""type"": ""Point"", ""coordinates"": [-123.06993657078716, 49.25990523925147]}";Kensington-Cedar Cottage;6C2711
Twin;$1.00;$2.00;$1.00;$2.00;$1.00;$2.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;50358;"{""type"": ""Point"", ""coordinates"": [-123.06993961823501, 49.2597859609145]}";Kensington-Cedar Cottage;6C2717
Twin;$3.00;$5.00;$3.00;$5.00;$3.00;$5.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;50425;"{""type"": ""Point"", ""coordinates"": [-123.06994746115556, 49.27137353889466]}";Grandview-Woodland;7C1638
Twin;$2.00;$3.00;$2.00;$3.00;$2.00;$3.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;52869;"{""type"": ""Point"", ""coordinates"": [-123.0689440066313, 49.27045988854626]}";Grandview-Woodland;8C1712
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;61847;"{""type"": ""Point"", ""coordinates"": [-123.12144701163722, 49.277821589762006]}";Downtown;591005
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;56202;"{""type"": ""Point"", ""coordinates"": [-123.09787187366697, 49.262904734237026]}";Mount Pleasant;310321
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;56203;"{""type"": ""Point"", ""coordinates"": [-123.09751962779818, 49.26289587496002]}";Mount Pleasant;310327
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;56206;"{""type"": ""Point"", ""coordinates"": [-123.0990368441752, 49.26307290539709]}";Mount Pleasant;9A2417
Twin;$4.00;$1.00;$4.00;$1.00;$4.00;$1.00;$2.00;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;63383;"{""type"": ""Point"", ""coordinates"": [-123.11566052323363, 49.27765564671716]}";Downtown;560816
Twin;$4.00;$1.00;$4.00;$1.00;$4.00;$1.00;$2.00;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;63518;"{""type"": ""Point"", ""coordinates"": [-123.11613310889945, 49.277342670999175]}";Downtown;560828
Twin;$2.00;$1.00;$2.00;$1.00;$2.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;54240;"{""type"": ""Point"", ""coordinates"": [-123.16946667102904, 49.264176584263595]}";Kitsilano;302823
Twin;$2.00;$1.00;$2.00;$1.00;$2.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;51648;"{""type"": ""Point"", ""coordinates"": [-123.17040982448795, 49.26419255782012]}";Kitsilano;302903
Twin;$2.00;$1.00;$2.00;$1.00;$2.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;51415;"{""type"": ""Point"", ""coordinates"": [-123.06937325480705, 49.26040984134037]}";Kensington-Cedar Cottage;C11706
Twin;$2.00;$1.00;$2.00;$1.00;$2.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;51387;"{""type"": ""Point"", ""coordinates"": [-123.06902031145012, 49.260406742482765]}";Kensington-Cedar Cottage;C11712
Twin;$3.00;$3.00;$3.00;$3.00;$3.00;$3.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;60579;"{""type"": ""Point"", ""coordinates"": [-123.11730750827978, 49.279108210719954]}";Downtown;580812
Twin;$3.00;$2.00;$3.00;$2.00;$3.00;$2.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;60962;"{""type"": ""Point"", ""coordinates"": [-123.10396328109536, 49.28052872410711]}";Downtown;090003
Twin;$3.00;$2.00;$3.00;$2.00;$3.00;$2.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;63316;"{""type"": ""Point"", ""coordinates"": [-123.10361666023277, 49.28052196523659]}";Downtown;090011
Twin;$3.00;$2.00;$3.00;$2.00;$3.00;$2.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;64352;"{""type"": ""Point"", ""coordinates"": [-123.10343846269568, 49.28051894059833]}";Downtown;090015
Twin;$3.00;$2.00;$3.00;$2.00;$3.00;$2.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;64358;"{""type"": ""Point"", ""coordinates"": [-123.10326044360151, 49.28051576260776]}";Downtown;090017
Twin;$3.00;$2.00;$3.00;$2.00;$3.00;$2.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;63311;"{""type"": ""Point"", ""coordinates"": [-123.10290162608344, 49.2805084278044]}";Downtown;090025
Twin;$3.00;$2.00;$3.00;$2.00;$3.00;$2.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;60304;"{""type"": ""Point"", ""coordinates"": [-123.10272371737229, 49.280505401806685]}";Downtown;090031
Twin;$3.00;$2.00;$3.00;$2.00;$3.00;$2.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;63429;"{""type"": ""Point"", ""coordinates"": [-123.10332706064135, 49.280391479628406]}";Downtown;090020
Twin;$3.00;$2.00;$3.00;$2.00;$3.00;$2.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;62090;"{""type"": ""Point"", ""coordinates"": [-123.09844118335127, 49.2803016917404]}";Strathcona;090224
Pay Station;$7.00;$4.00;$7.00;$4.00;$7.00;$4.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;3 Hr;4 Hr;3 Hr;4 Hr;3 Hr;4 Hr;;Yes;67618;"{""type"": ""Point"", ""coordinates"": [-123.11748392102258, 49.287842121931284]}";Downtown;041022
Twin Bay Single;$6.00;$3.00;$6.00;$3.00;$6.00;$3.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;4 Hr;4 Hr;4 Hr;4 Hr;;Yes;60943;"{""type"": ""Point"", ""coordinates"": [-123.11379356652454, 49.281819453735366]}";Downtown;100404
